Symptoms_of Aconite_napellus_from_Allens_Keynotes,Systems of the body_affected_by_Aconite_Napellus,Sphere_of_action_of_Aconite_Napellus_from_Author_Boger,Sphere_of_action_of_Aconite_Napellus_from_Author_Burt,Location_Affected_by_Aconite_Napellus_From_Author_Boger,Worse_Modalities _of_ Aconite_Napellus_from_Author_Boericke,Aggravation_Modalities _of_ Aconite_Napellus_from_Author_Boericke,Better_Modalities _of_ Aconite_Napellus_from_Author_Boericke,Amelioration_Modalities _of_ Aconite_Napellus_from_Author_Boericke,Aggravation _ Modalities_of_Aconite_Napellus_from_Author_ Allen,Amelioration _ Modalities_of_Aconite_Napellus_from_Author_ Allen,Worse _Modalities_of_Aconite_Napellus_from_Author_Boger,Better _Modalities_of_Aconite_Napellus_from_Author_Boger,Clinical_Conditions_of _acon_from_Boericke,Clinical_Conditions_of _acon_from_Boger,Relationship_of_Aconite_Napellus_from_Author_Gibson_Miller:,Relationship_of_Aconite_Napellus_from_Author_Allen,Relationship_of_Aconite_Napellus_from_Author_Dr_Boger,Generalities_of_Aconite_Napellus_from_Author_Boericke
Weather Changes Aggravation,"Respiratory system,",Mind,HEART.,Mind,Worse By lying on affected side,Worse By lying on affected side,Better in open air,Better in open air,aggravation in Evening,amelioration In the open air,WORSE violent emotion.,BETTER open air.,Influenza,Inflammation.,"Complementary remedies Arn.,coff.,sulph.",Aconite_Napellus is Complementary to Coff. in fever sleeplessness intolerance of pain,"Aconite_Napellus is Complementary to Sulph. Arn., Bell. Bry. Coff. Mill. Phos. Spong.","A state of fear, anxiety; anguish of mind and body. PHYSICAL AND MENTAL RESTLESSNESS, fright, is the most characteristic manifestation of Aconite_Napellus. ACUTE, SUDDEN, AND VIOLENT INVASION, WITH FEVER, call for it. Does not want to be touched. Sudden and great sinking of strength. Complaints and tension caused by exposure to DRY, COLD WEATHER, draft of cold air, checked perspiration, also complaints from VERY HOT WEATHER, especially gastrointestinal disturbances, etc. First remedy in inflammation, inflammatory fevers. Serous membranes and muscular tissues affected markedly. Burning in internal parts; TINGLING, COLDNESS AND NUMBNESS.Influenza. TENSION of arteries; emotional and physical mental tension explain many symptoms. When prescribing Aconite_Napellus remember Aconite_Napellus causes only functional disturbance, no evidence that it can produce tissue change - its action is brief and SHOWS NO PERIODICITY. Its sphere is in the beginning of an acute disease and not to be continued after pathological change comes. In Hyperaemia, congestion not after exudation has set in. INFLUENZA (Influenzin)."
Weather Changes Worsens the condition,"Mind,",Brain.,HEART Inhibitory Paralysis,Brain.,from music,from music,,,pains are insupportable,,WORSE FRIGHT,BETTER repose.,fear,Neuralgia.,"Remedies that Follow Aconite_Napellus well Abrot.,arn.,ars.,Bell.,Bry.,cact.,calc.,cocc.,canth.,coff.,hep.,ip.,kali-br.,merc.,puls.,Rhus-t.,sep.,spig.,spong.,sulph.,Sil.",Aconite_Napellus is complementary to Arn. in traumatism,Aconite_Napellus is Related to Bell. Cham. Coff.,
Weather Changes Worsens the health,"Nervous system,",NERVES Medulla.,HEART Blood - Pressure Lessened.,NERVES Medulla.,"from tobacco-smoke,","from tobacco-smoke,",,,lying on affected side,,WORSE SHOCK.,BETTER warm sweat.,anxiety,Crepitation.,Inimical to Aconite_Napellus none,Aconite_Napellus is complemnentary to Sulph. in all cases,Aconite_Napellus Duration of action is Less than 1 week,
Acute Diseases,"Physiological Changes,",NERVES sympathetic.,CIRCULATION.,NERVES sympathetic.,"dry, cold winds.","dry, cold winds.",,,in a warm room,,WORSE vexation.,,restlessness,Collapse.,"Antidotes to Aconite_Napellus Acet-ac.,Bell.,berb.,coff.,nux-v.,Par.,sulph.,vine-b.",Aconite_Napellus is Rarely indicated in fevers which bring out eruptions,,
Plethoric Habit,Functional Changes.,NERVES vagus.,CIRCULATION Vaso - Motor Paralysis.,NERVES vagus.,,,,,when rising from bed,,WORSE chilled by COLD,,apoplexy,Delirium.,,Acon. is the acute of Sulph. and both precedes and follows it in acute inflammatory conditions.,,
Checked Perspiration,Cause : Exposure,NERVES respiratory center.,TEMPERATURE.,NERVES respiratory center.,,,,,aggravation in night,,WORSE chilled by dry winds.,,acute conjunctivitis,Convulsions.,,Abuse of Acon. requires Sulph.,,
Great Fear,Cause : Draft,HEART Arterial,TEMPERATURE Depressed with Diaphoresis.,HEART Arterial,,,,,,,WORSE chilled by while sweating.,,trachoma,"Anxiety,",,"Compare Aconite_Napellus with sabina in cases of Music is unbearable, makes her sad",,
Anxiety of Mind,Cause : Hot weather,HEART circulation.,CEREBRO - SPINAL NERVOUS SYSTEM.,HEART circulation.,,,,,,,WORSE pressure and touch.,,photophobia,Coryza.,,Compare with Aconite_Napellus cough on expiration Caust.,,
Restlessness,Cause : Dry cold winds.,Viscera larynx,CEREBRO - SPINAL NERVOUS SYSTEM. Paralysis.,Viscera larynx,,,,,,,"WORSE noise, light dentition.",,otalgia,Faintness.,,"Compare with Aconite_Napellus worse by lying on affected side Hepar sulph.,",,
Predicts the day he will die,,Viscera chest,MUCOUS MEMBRANES.,Viscera chest,,,,,,,WORSE noise during menses.,,Mumps,Toothache.,,Compare with Aconite_Napellus worse by lying on affected side Nux-m.,,
